record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,previous_activity_step,last_observed_step,dormant_gap,historical_gap,balance_usage_ratio
S07_000001,308,CASH_OUT,813608.3,C891754587,3254433.2,2440824.9,C_SYN_227521863,0.0,813608.3,1,0,S07_00001,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,207,207,101,0,0.25
S07_000002,367,PAYMENT,81709.67,C426737494,2448431.39,2366721.72,C_SYN_998717130,0.0,81709.67,1,0,S07_00002,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,235,235,132,0,0.0334
S07_000003,382,PAYMENT,813608.3,C325401550,3254433.2,2440824.9,C_SYN_342285876,0.0,813608.3,1,0,S07_00003,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,309,309,73,0,0.25
S07_000004,334,PAYMENT,813608.3,C527228711,3254433.2,2440824.9,C_SYN_880932287,0.0,813608.3,1,0,S07_00004,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,255,255,79,0,0.25
S07_000005,430,TRANSFER,87724.83,C1913656813,350899.32,263174.49,C_SYN_130349564,0.0,87724.83,1,0,S07_00005,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,305,305,125,0,0.25
S07_000006,688,TRANSFER,87733.13,C287373632,350932.52,263199.39,C_SYN_699121577,0.0,87733.13,1,0,S07_00006,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,548,548,140,0,0.25
S07_000007,507,CASH_OUT,71984.87,C2119498385,393562.28,321577.41,C_SYN_489151677,0.0,71984.87,1,0,S07_00007,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,378,378,129,0,0.1829
S07_000008,382,PAYMENT,813608.3,C1062879440,3254433.2,2440824.9,C_SYN_299502978,0.0,813608.3,1,0,S07_00008,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,278,278,104,0,0.25
S07_000009,81,PAYMENT,89200.15,C700538177,356800.6,267600.45,C_SYN_156972561,0.0,89200.15,1,0,S07_00009,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,11,11,70,0,0.25
S07_000010,319,TRANSFER,477081.23,C1767129504,1908324.92,1431243.69,C_SYN_334564360,0.0,477081.23,1,0,S07_00010,DORMANT_ACCOUNT_SUDDEN_ACTIVITY,Suspicious transaction occurred after an unusually long period of account inactivity,HIGH,256,256,63,0,0.25
